Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number,,,,NAME,AGE,SALARY,GENDER,DEPARTMENT,POSITION,JOINING DATE,PERFORMANCE SCORE,EMAIL,PHONE NUMBER,
 grace ,25,50000,Male,HR,Manager,5-Apr-18,D,email@example.com,nan,,,,Grace,25,50000,Male,HR,Manager,4/5/2018,D,email@example.com,,
 david ,nan,65000,Female,Finance,Director,2/20/2020,F,user@domain.com,123-456-7890,,,,David,,65000,Female,Finance,Director,2/20/2020,F,user@domain.com,123-456-7890,
 hannah ,35,SIXTY THOUSAND,Female,Sales,Director,1/15/2020,C,email@example.com,098-765-4321,,,,Hannah,35,60000,Female,Sales,Director,1/15/2020,C,email@example.com,098-765-4321,
 eve ,nan,50000,Female,IT,Manager,5-Apr-18,A,name@company.org, ,,,,Eve,,50000,Female,IT,Manager,4/5/2018,A,name@company.org,,
 grace ,nan, NAN ,Female,Finance,Manager,1/15/2020,F,name@company.org,098-765-4321,,,,Grace,,  ,Female,Finance,Manager,1/15/2020,F,name@company.org,098-765-4321,
 jack ,nan,65000,Other,Marketing,Director,3/25/2019,F,user@domain.com,nan,,,,Jack,,65000,Other,Marketing,Director,3/25/2019,F,user@domain.com,,
 charlie ,nan,50000,Male,Marketing,Clerk,2019.12.01,B,,123-456-7890,,,,Charlie,,50000,Male,Marketing,Clerk,12/1/2019,B,,123-456-7890,
 grace ,40,50000,Other,HR,Director,3/25/2019,C,, ,,,,Grace,40,50000,Other,HR,Director,3/25/2019,C,,,
 hannah ,40,SIXTY THOUSAND,Female,Marketing,Manager,1/15/2020,C,user@domain.com,123-456-7890,,,,Hannah,40,60000,Female,Marketing,Manager,1/15/2020,C,user@domain.com,123-456-7890,
 eve ,thirty, NAN ,Other,Finance,Assistant,2/20/2020,A,, ,,,,Eve,30,  ,Other,Finance,Assistant,2/20/2020,A,,,
 david ,25,70000,Male,Marketing,Analyst,2019.12.01,B,nan,123-456-7890,,,,David,25,70000,Male,Marketing,Analyst,12/1/2019,B,,123-456-7890,
 hannah ,nan,70000,Other,Finance,Assistant,3/25/2019,A,,nan,,,,Hannah,,70000,Other,Finance,Assistant,3/25/2019,A,,,
 hannah ,thirty,50000,Male,IT,Assistant,5-Apr-18,D,, ,,,,Hannah,30,50000,Male,IT,Assistant,4/5/2018,D,,,
 charlie ,25,55000,Other,HR,Manager,2/20/2020,F,,555-555-5555,,,,Charlie,25,55000,Other,HR,Manager,2/20/2020,F,,555-555-5555,
 frank ,50, NAN ,Male,Marketing,Director,3/25/2019,A,nan,123-456-7890,,,,Frank,50,  ,Male,Marketing,Director,3/25/2019,A,,123-456-7890,
